text	Museo	Estrellas	Fecha de la visita	Fecha de la opinión	Enlace
Hijo renombrado de Malaga. Ver cómo tuvo sus diferentes etapas como pintor, Picasso artista controversial, su vida y obra es apasionante.	Museo Picasso	4	Feb-20	Mar-20	https://www.tripadvisor.es/ShowUserReviews-g187438-d288435-r751371427-Museo_Picasso_Malaga-Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia.html?m=19905
Lugar encantador. Muy bien equipado con la vida y obra de Picasso. Con vistas a la plaza de la Merced. Buenas instalciones.	Museo Picasso	5	Apr-19	Mar-20	https://www.tripadvisor.es/ShowUserReviews-g187438-d288435-r750583445-Museo_Picasso_Malaga-Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia.html?m=19905
Me esperaba más. No son obras de Picasso muy relevantes; me esperaba más. Por lo demás bien. El edificio es un palacio y merece la pena verlo.	Museo Picasso	3	Feb-20	Mar-20	https://www.tripadvisor.es/ShowUserReviews-g187438-d288435-r749997086-Museo_Picasso_Malaga-Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia.html?m=19905
Vista obligada en Málaga. Una de las mejores sorpresas de Málaga es este museo. Tanto la colección de Picasso como el edificio renacentista en el que está hacen que la visita sea inolvidable.	Museo Picasso	5	Dec-19	Mar-20	https://www.tripadvisor.es/ShowUserReviews-g187438-d288435-r748542886-Museo_Picasso_Malaga-Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia.html?m=19905
Solo para amantes de la pintura. Vale 9 euros la entrada normal. Me escogió el precio total de toda la familia, teniendo en cuenta que ninguno era un gran admirador o conocedor de la pintura contemporánea. Serían cuadros de valor incalculable, pero a mi no me llamaron la atención especialmente. Además, no tienen ninguna de las pinturas famosas del pintor malagueño.	Museo Picasso	2	Feb-20	Feb-20	https://www.tripadvisor.es/ShowUserReviews-g187438-d288435-r748271173-Museo_Picasso_Malaga-Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia.html?m=19905
Visita interesante. Fuimos con un grupo de amigos un domingo porque ese es día es gratis y la cola avanza bastante rápida. La colección es amplia y bonita.	Museo Picasso	4	Feb-20	Feb-20	https://www.tripadvisor.es/ShowUserReviews-g187438-d288435-r747757105-Museo_Picasso_Malaga-Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia.html?m=19905
Necesaria. Necesaria la visita de este museo en la localidad natal del artista. La tarifa es de ocho euros la general y la visita tiene una duración de 1 hora u hora y media. No es una gran coleccion de obras, todas ellas menores... pero es visitable sin más.	Museo Picasso	4	Feb-20	Feb-20	https://www.tripadvisor.es/ShowUserReviews-g187438-d288435-r747700638-Museo_Picasso_Malaga-Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia.html?m=19905
Bien, pero un punto decepcionante. El museo está en un bonito edificio. Se ve rápidamente, en una hora o menos. Y se disfruta, pero no tiene ninguna de las obras importantes y conocidas de Picasso. Muchos dibujos, algo en cerámica y hierro y algo más colorido. Bien, ¡pero no para tirar cohetes!	Museo Picasso	4	Feb-20	Feb-20	https://www.tripadvisor.es/ShowUserReviews-g187438-d288435-r747127574-Museo_Picasso_Malaga-Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia.html?m=19905
El de Málaga. Como no, ese grandísimo Pablo tenía que tener un museo en su ciudad, en su Málaga, y lo tenemos y disfrutamos.	Museo Picasso	5	Feb-20	Feb-20	https://www.tripadvisor.es/ShowUserReviews-g187438-d288435-r745958939-Museo_Picasso_Malaga-Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia.html?m=19905
Obras poco conocidas. Las obras son poco conocidas. Hay muchos dibujos de la primera época, cerámica y algunas esculturas; en general, cedidos por familares de sus colecciones privadas. No es muy grande, se recorre tranquilamente en una hora.	Museo Picasso	3	Feb-20	Feb-20	https://www.tripadvisor.es/ShowUserReviews-g187438-d288435-r745726678-Museo_Picasso_Malaga-Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia.html?m=19905
Lo mejor, las temporales. Tienen una gran exposición permanente, pero suelen traer cosas de muchísima calidad para hacer exposiciones temporales.	Museo Carmen Thyssen	5	Jan-20	Mar-20	https://www.tripadvisor.es/ShowUserReviews-g187438-d2067257-r750236516-Museo_Carmen_Thyssen_Malaga-Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia.html?m=19905
Interesante museo. Interesante museo en el centro de Málaga con interesante pintura costumbrista andaluza y, también, de exposiciones temporales que sitúan en alto nivel la oferta cultural malagueña.	Museo Carmen Thyssen	4	Feb-20	Feb-20	https://www.tripadvisor.es/ShowUserReviews-g187438-d2067257-r747362941-Museo_Carmen_Thyssen_Malaga-Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia.html?m=19905
Excelente museo. Es un museo fácil de ver que reúne obras maestras. Está muy céntrico junto a otros museos y catedral, etc.	Museo Carmen Thyssen	5	Feb-20	Feb-20	https://www.tripadvisor.es/ShowUserReviews-g187438-d2067257-r746056029-Museo_Carmen_Thyssen_Malaga-Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia.html?m=19905
Siempre interesante. Te tiene que gustar la pintura española de los siglos XIX-XX. Atención a las muestras temporales. Bonito edificio. Descuento para Amigos del Thyssen de Madrid.	Museo Carmen Thyssen	4	Feb-20	Feb-20	https://www.tripadvisor.es/ShowUserReviews-g187438-d2067257-r745463078-Museo_Carmen_Thyssen_Malaga-Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia.html?m=19905
Muy bien. Muy buena opción entre la gran oferta cultural de la ciudad. Es un bonito edificio donde se puede disfrutar de una buena colección de pintores y escenas relacionadas con Andalucía. Algunas obras de alto valor artístico.	Museo Carmen Thyssen	4	Feb-20	Feb-20	https://www.tripadvisor.es/ShowUserReviews-g187438-d2067257-r745407763-Museo_Carmen_Thyssen_Malaga-Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia.html?m=19905
Segunda visita y no será la última. Bella exposición de pintura andaluza, gran colorido y realismo. La habíamos visitado hace unos años. Las cuatro plantas del palacio que alberga el museo merecen una visita. Una planta siempre dedicada a exposición temporal, en nuestro caso Fantasía Árabe. También posee una pequeña y bonita cafetería que no tuvimos tiempo de disfrutar.	Museo Carmen Thyssen	5	Feb-20	Feb-20	https://www.tripadvisor.es/ShowUserReviews-g187438-d2067257-r744986174-Museo_Carmen_Thyssen_Malaga-Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia.html?m=19905
Interesante exposición orientalista y estupenda colección de Fortuny. La opinión es sobre todo para la exposición temporal sobre la pintura orientalista, en la que destacan numerosos y estupendos Fortuny, además de otros pintores orientalistas de la época. La colección permanente está muy marcada por el gusto de su dueña por el costumbrismo, el folclore y la pintura andaluza de finales del XIX y principios del XX, mucha de ella pintada para turistas.	Museo Carmen Thyssen	4	Feb-20	Feb-20	https://www.tripadvisor.es/ShowUserReviews-g187438-d2067257-r744793997-Museo_Carmen_Thyssen_Malaga-Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia.html?m=19905
Es su ciudad y tenía que tener su museo. No hay comparación con el de Madrid, siento mucho decirlo, ya que ese museo es mi favorito y esperaba encontrar lo mismo aquí.	Museo Carmen Thyssen	3	Nov-19	Feb-20	https://www.tripadvisor.es/ShowUserReviews-g187438-d2067257-r742560944-Museo_Carmen_Thyssen_Malaga-Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia.html?m=19905
Una colección muy personal. Museo siempre recomendable por sus peculiaridades, entre ellas, la posibilidad de disfrutar de la obra de pintores muy poco representados en otros museos y eso hace que este museo, en ese sentido, sea único. Por otro lado, no se puede olvidar que se trata de una colección particular y se nota. El cuidado, yo diría mimo, con que se presentan todas y cada una de las obras, desde el marco a la iluminación, es llamativo y hace que todas y cada una de ellas, desde su singularidad, nos aporte un gran placer. Coincidí, además, con una exposición temporal sobre la pintura orientalista: excelente. Un museo siempre es recomendable; este, desde luego, muy justamente.	Museo Carmen Thyssen	4	Jan-20	Jan-20	https://www.tripadvisor.es/ShowUserReviews-g187438-d2067257-r741540424-Museo_Carmen_Thyssen_Malaga-Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia.html?m=19905
Bien dotado. Bonito lugar y muy buenas actividades ligadas a la pintura como charlas sobre cuadros y otras propuestas muy acertadas.	Museo Carmen Thyssen	4	Jan-20	Jan-20	https://www.tripadvisor.es/ShowUserReviews-g187438-d2067257-r741493581-Museo_Carmen_Thyssen_Malaga-Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia.html?m=19905
