text	genre	eval_entity_type	name	province	source	url	date	score
I met this restaurant this summer and I just love it! They serve foods from different countries with a especial flavour made by the Chef. The Mac'n cheese is really good, and is a place to feel a little of the culture of the country that come the food. The attendance is very good and welcoming. And the place are beautiful that show care with details.	review	international	Rigodon	CA	Tripadvisor	https://www.tripadvisor.com/Restaurant_Review-g227869-d11908071-Reviews-Rigodon-Jerez_De_La_Frontera_Costa_de_la_Luz_Andalucia.html	2017-7-22	5
Had an amazing meal at El Viajero Del Merkao. Saw the trip advisor and Yelp reviews were very good so tried it and was extremely impressed. Food was flawless, wine was also very good and super inexpensive. The owner was extremely nice and did a good job of recommending great dishes. We loved the octopus and the croquettes, but honestly everything we had was good.	review	international	El Viajero Del Merkao	CA	Tripadvisor	https://www.tripadvisor.com/Restaurant_Review-g187432-d7233844-Reviews-El_Viajero_Del_Merkao-Cadiz_Costa_de_la_Luz_Andalucia.html	2016-5-4	5
Four of us enjoyed a very pleasant meal here last Saturday evening. We had a variety of pasta meals and all greatly enjoyed the choice they had made. The wine list was perfectly reasonable and satisfied our needs. HOWEVER when the bill came we very very disappointed and somewhat irritated that our pre dinner drinks (Four gin and Tonics) cost €50!! Insult had been added since I had asked for a sherry and they had none to offer. We suggest they perhaps review their pricing and their choice of stock.	review	spanish	La Tarantella	MA	Tripadvisor	https://www.tripadvisor.com/Restaurant_Review-g187437-d12647796-Reviews-La_Tarantella-Estepona_Costa_del_Sol_Province_of_Malaga_Andalucia.html	2017-10-10	3
Jaipur Purple always serves very good food. Last night I had my 2 benchmark dishes so I could compare it with other Indian restaurants . My starter was chicken pakora which was lovely and crispy as it should be but often is not in other restaurants. My guests had Tandoori mushrooms and vegetable cutlets which were both delicious too. For my main course I Had Chicken Phal which is a hotter version of vindaloo. it was delicious and not too hot for me. My companions had a chicken Jalfrezi and Chicken Tikka Masala which I tasted and were both very good too with quality ingredients and lots of flavour. We shared a Garlic Naan bread and had 3 different rice dishes all washed down with lots of chilled white wine. In my opinion this is a better Indian than others I have tried here on the coast. The indoor setting may make it less attractive to some diners but for me it's all about the food. Service is very friendly and efficient and we received a complimentary drink with our bill. I recommend a visit to Jaipur Purple.	review	indian	Jaipur Purple	MA	Tripadvisor	https://www.tripadvisor.com/Restaurant_Review-g187437-d2360870-Reviews-Jaipur_Purple-Estepona_Costa_del_Sol_Province_of_Malaga_Andalucia.html	2013-7-25	4
Today i went with my mom and dog to " La Piká " coming for several years to Mojacar, this visit was one of my best in a long time. People look for a nice solution between our dog and not disturbing other people without dogs. He was very welcome. The menu is suprising and very different from other restaurants. The white " housewine " Verdejo was Wonderfull and all dishes were perfect. The service was great and felt very familiar. I can recommend this place to everybody!! Top of the bill, see you soon again... very soon and yes the home made vanilla icecream ..... thanks La Piká !!! Good job !!!	review	latinoamerican	La Pika	AL	Tripadvisor	https://www.tripadvisor.com/Restaurant_Review-g580270-d8123161-Reviews-La_Pika-Mojacar_Province_of_Almeria_Andalucia.html	2018-5-14	5
This restaurant can be found at the far end of San Jose's harbour, quite some distance from where it shows up on TripAdvisor and Google Maps. But is it worth seeking out? In my view, probably not. Don't get me wrong, it's a very smart place with good views and friendly service. But the food was a bit of a disappointment. I'm always reluctant to order paella in Spain. That may sound odd but in my experience it's a dish that too often is reheated rather than freshly made. But I thought I'd give it a go here as they seemed to specialise in rice dishes and I thought their offering may be a cut above the average. Unfortunately it wasn't. It was ok but no better than that. When a paella arrives within 20 minutes of ordering it you know that the chef has taken some shortcuts. I wouldn't recommend it.	review	seafood	4 Nudos	AL	Tripadvisor	https://www.tripadvisor.com/Restaurant_Review-g1233761-d4174058-Reviews-4_Nudos-San_Jose_Province_of_Almeria_Andalucia.html	2015-9-13	2
Contemporary decor with great Med views from its terrace. Service starts with a good welcome from professional waiters. Food is modern 'gourmet' international style, not typically Spanish. Neither is it fusion, overall good well presented with well balanced flavours...except the great failure of drowning a small steak with a horrible sweet mustard sauce concoction. Returning the dish almost untouched to the waiter resulted in nothing more than a 'sorry' . All 4 diners had scraped the sickly slime off the meat but ate some of it anyway. Failing to offer a replacement was a double failing removing this place from our list of dining venues. Lighting is unfortunately the typical Spanish bar pure white blinding LED light which ruins the atmosphere the decorator tried to create. Tapas lunch menu is good.	review	spanish	Escorpio Restaurante	MA	Tripadvisor	https://www.tripadvisor.com/Restaurant_Review-g562812-d4155134-Reviews-Escorpio_Restaurante-Benalmadena_Costa_del_Sol_Province_of_Malaga_Andalucia.html	2018-1-28	2
Unfortunately the road is being developed outside this restaurant so it was rather dusty and noisy but of course this is no fault of the restaurant. Instead of sitting outside in the sunshine we decided to have our lunch inside where the decor was decidedly Mexican so it was nice and bright. Service was very good and the food excellent and very well priced.	review	mexican	Restaurante Mexicano Riviera Maya	CA	Tripadvisor	https://www.tripadvisor.com/Restaurant_Review-g187434-d6528953-Reviews-Restaurante_Mexicano_Riviera_Maya-El_Puerto_de_Santa_Maria_Costa_de_la_Luz_Andalu.html	2018-2-17	4
This restaurant is perfect if you want three courses at a very low price. There are many restaurants like this on the Playa. However if you just are looking for a high quality main course meal without starter and desert, similar to what is available in a small number of quality restaurants on the Playa, such as La Pika, then this is probably not the place for you. We were amazed how they could afford to charge such low prices for three courses? Especially as tipping is not common practice by locals in Spain. On the negative side, Food providence was certainly not organic. The vegetables were of poor quality and overcooked. The potato fries covered in olive oil and not palatable. This is very much a restaurant catering for those on a tight budget. The place was busy and the facilities were clean. The staff were friendly and helpful.	review	spanish	Torre Bahia	AL	Tripadvisor	https://www.tripadvisor.com/Restaurant_Review-g580270-d1005134-Reviews-Torre_Bahia-Mojacar_Province_of_Almeria_Andalucia.html	2018-8-15	1
This beautiful restaurant in the Old Town in Marbella served the most amazing food. The scallops & veal carpacio style were had for starters & were mouthwatering. For mains we had monkfish & prawn with chorizo & broad bean risotto, tortello stuffed with confit duck & foie gras sauce & linguini in a lemon butter sauce with crab legs & a touch of chilli. Totally sublime. We will definitely be back on our next visit.	review	italian	Il Tartufo	MA	Tripadvisor	https://www.tripadvisor.com/Restaurant_Review-g187439-d2089591-Reviews-Il_Tartufo-Marbella_Costa_del_Sol_Province_of_Malaga_Andalucia.html	2014-10-4	5
